,City,Air Quality,Index Value,Prominent Pollutant,No. of Monitoring Stations,Date,
,Satisfactory,65,"PM<s>2.5</s>, O<s>3</s>",4,2017-11-13,,
,Severe,470,PM<s>2.5</s>,1,2017-11-13,,
,Very Poor,357,"PM<s>2.5</s>, NO<s>2</s>",2,2017-11-13,,
,Moderate,103,PM<s>2.5</s>,<s>#</s>3,2017-11-13,,
,Severe,460,PM<s>2.5</s>,15,2017-11-13,,
,Moderate,123,PM<s>10</s>,1,2017-11-13,,
,Severe,422,PM<s>2.5</s>,1,2017-11-13,,
,Severe,497,PM<s>2.5</s>,1,2017-11-13,,
,Severe,466,PM<s>2.5</s>,<s>#</s>1,2017-11-13,,
,Moderate,105,"O<s>3</s>, PM<s>10</s>",6,2017-11-13,,
,Poor,286,PM<s>2.5</s>,<s>#</s>2,2017-11-13,,
,Very Poor,319,PM<s>2.5</s>,1,2017-11-13,,
,Severe,421,PM<s>2.5</s>,<s>#</s>1,2017-11-13,,
,Poor,281,PM<s>2.5</s>,1,2017-11-13,,
,Severe,426,PM<s>2.5</s>,3,2017-11-13,,
,Very Poor,382,PM<s>10</s>,1,2017-11-13,,
,Very Poor,362,PM<s>10</s>,<s>#</s>1,2017-11-13,,
,Severe,479,PM<s>2.5</s>,<s>#</s>1,2017-11-13,,
,Moderate,126,PM<s>10</s>,1,2017-11-13,,
,Very Poor,341,PM<s>2.5</s>,1,2017-11-13,,
,Poor,228,PM<s>2.5</s>,<s>#</s>1,2017-11-13,,
,Poor,267,O<s>3</s>,1,2017-11-13,,
,Moderate,108,CO,<s>#</s>1,2017-11-13,,
,Severe,466,PM<s>2.5</s>,<s>#</s>2,2017-11-13,,
,Very Poor,353,PM<s>2.5</s>,<s>#</s>1,2017-11-13,,
,Moderate,163,PM<s>10</s>,1,2017-11-13,,
,Satisfactory,87,O<s>3</s>,1,2017-11-13,,
,Severe,454,PM<s>2.5</s>,1,2017-11-13,,
,Moderate,139,PM<s>10</s>,1,2017-11-13,,
,Moderate,158,PM<s>10</s>,<s>#</s>1,2017-11-13,,
,Moderate,125,PM<s>2.5</s>,1,2017-11-13,,
,Moderate,126,NO<s>2</s>,1,2017-11-13,,
,Poor,227,PM<s>2.5</s>,1,2017-11-13,,
,Very Poor,333,PM<s>2.5</s>,1,2017-11-13,,
,Satisfactory,100,PM<s>2.5</s>,1,2017-11-13,,
,Satisfactory,73,"O<s>3</s>, PM<s>2.5</s>",<s>#</s>2,2017-11-13,,
,Very Poor,377,PM<s>2.5</s>,1,2017-11-14,,
,Very Poor,318,PM<s>2.5</s>,1,2017-11-14,,
,Moderate,123,PM<s>10</s>,<s>#</s>1,2017-11-14,,
,Poor,268,PM<s>2.5</s>,1,2017-11-14,,
,Poor,206,PM<s>2.5</s>,1,2017-11-14,,
,Moderate,133,PM<s>10</s>,1,2017-11-14,,
,Satisfactory,73,"PM<s>2.5</s>, O<s>3</s>",4,2017-11-14,,
,Very Poor,365,PM<s>2.5</s>,1,2017-11-14,,
,Poor,278,"PM<s>2.5</s>, NO<s>2</s>",2,2017-11-14,,
,Satisfactory,69,PM<s>2.5</s>,3,2017-11-14,,
,Very Poor,308,"PM<s>2.5</s>, CO",13,2017-11-14,,
,Moderate,113,PM<s>10</s>,1,2017-11-14,,
,Very Poor,348,PM<s>2.5</s>,1,2017-11-14,,
,Severe,467,PM<s>2.5</s>,1,2017-11-14,,
,Very Poor,355,PM<s>2.5</s>,1,2017-11-14,,
,Satisfactory,90,PM<s>10</s>,1,2017-11-14,,
,Moderate,115,"PM<s>2.5</s>, PM<s>10</s>",<s>#</s>6,2017-11-14,,
,Moderate,181,PM<s>2.5</s>,2,2017-11-14,,
,Very Poor,329,PM<s>2.5</s>,1,2017-11-14,,
,Severe,448,PM<s>2.5</s>,1,2017-11-14,,
,Poor,241,PM<s>2.5</s>,<s>#</s>1,2017-11-14,,
,Severe,484,PM<s>2.5</s>,3,2017-11-14,,
,Very Poor,347,PM<s>10</s>,1,2017-11-14,,
,Severe,420,PM<s>2.5</s>,<s>#</s>1,2017-11-14,,
,Moderate,146,PM<s>10</s>,1,2017-11-14,,
,Very Poor,366,PM<s>2.5</s>,1,2017-11-14,,
,Moderate,178,PM<s>2.5</s>,<s>#</s>1,2017-11-14,,
,Poor,222,O<s>3</s>,<s>#</s>1,2017-11-14,,
,Moderate,128,PM<s>10</s>,<s>#</s>1,2017-11-14,,
,Severe,410,PM<s>2.5</s>,<s>#</s>2,2017-11-14,,
,Poor,201,PM<s>2.5</s>,1,2017-11-14,,
,Moderate,143,PM<s>2.5</s>,1,2017-11-14,,
,Severe,404,PM<s>2.5</s>,1,2017-11-14,,
,Satisfactory,91,CO,1,2017-11-14,,
,Satisfactory,80,PM<s>10</s>,1,2017-11-14,,
,Very Poor,388,PM<s>2.5</s>,1,2017-11-14,,
,Moderate,112,PM<s>10</s>,1,2017-11-14,,
,Moderate,188,PM<s>10</s>,1,2017-11-14,,
,Satisfactory,96,PM<s>2.5</s>,1,2017-11-14,,
,Moderate,109,NO<s>2</s>,1,2017-11-14,,
,Poor,207,PM<s>2.5</s>,1,2017-11-14,,
,Very Poor,400,PM<s>10</s>,<s>#</s>1,2017-11-14,,
,Satisfactory,81,PM<s>10</s>,<s>#</s>1,2017-11-14,,
,Satisfactory,56,PM<s>10</s>,2,2017-11-14,,
,Very Poor,354,PM<s>2.5</s>,1,2017-11-15,,
,Very Poor,332,PM<s>2.5</s>,<s>#</s>1,2017-11-15,,
,Moderate,157,PM<s>10</s>,1,2017-11-15,,
,Very Poor,304,PM<s>2.5</s>,1,2017-11-15,,
,Moderate,124,PM<s>2.5</s>,<s>#</s>1,2017-11-15,,
,Moderate,124,PM<s>10</s>,1,2017-11-15,,
,Satisfactory,65,"PM<s>2.5</s>, O<s>3</s>",4,2017-11-15,,
,Very Poor,331,PM<s>2.5</s>,1,2017-11-15,,
,Moderate,104,PM<s>10</s>,2,2017-11-15,,
,Satisfactory,70,PM<s>2.5</s>,<s>#</s>2,2017-11-15,,
,Very Poor,361,PM<s>2.5</s>,17,2017-11-15,,
,Moderate,104,PM<s>10</s>,1,2017-11-15,,
,Very Poor,334,PM<s>2.5</s>,1,2017-11-15,,
,Moderate,170,PM<s>2.5</s>,1,2017-11-15,,
,Severe,418,PM<s>2.5</s>,1,2017-11-15,,
,Very Poor,350,PM<s>2.5</s>,1,2017-11-15,,
,Satisfactory,90,PM<s>10</s>,1,2017-11-15,,
,Moderate,110,"PM<s>10</s>, PM<s>2.5</s>",<s>#</s>4,2017-11-15,,
,Poor,204,"PM<s>2.5</s>, O<s>3</s>",<s>#</s>3,2017-11-15,,
,Very Poor,373,PM<s>2.5</s>,1,2017-11-15,,
,Poor,286,PM<s>2.5</s>,1,2017-11-15,,
,Severe,404,PM<s>2.5</s>,3,2017-11-15,,
,Moderate,189,PM<s>2.5</s>,1,2017-11-15,,
,Very Poor,392,PM<s>2.5</s>,1,2017-11-15,,
,Moderate,139,PM<s>10</s>,1,2017-11-15,,
,Poor,234,PM<s>2.5</s>,1,2017-11-15,,
,Moderate,152,PM<s>2.5</s>,<s>#</s>1,2017-11-15,,
,Very Poor,367,PM<s>2.5</s>,2,2017-11-15,,
,Poor,224,PM<s>2.5</s>,<s>#</s>1,2017-11-15,,
,Poor,216,PM<s>2.5</s>,1,2017-11-15,,
,Poor,300,PM<s>2.5</s>,1,2017-11-15,,
,Satisfactory,91,CO,1,2017-11-15,,
,Satisfactory,59,O<s>3</s>,1,2017-11-15,,
,Very Poor,380,PM<s>2.5</s>,1,2017-11-15,,
,Moderate,109,PM<s>10</s>,1,2017-11-15,,
,Moderate,161,PM<s>10</s>,1,2017-11-15,,
,Moderate,110,PM<s>2.5</s>,1,2017-11-15,,
,Moderate,118,NO<s>2</s>,<s>#</s>1,2017-11-15,,
,Poor,212,PM<s>2.5</s>,<s>#</s>1,2017-11-15,,
,Satisfactory,73,PM<s>10</s>,<s>#</s>1,2017-11-15,,
,Good,41,CO,<s>#</s>1,2017-11-15,,
,Very Poor,343,PM<s>2.5</s>,1,2017-11-16,,
,Moderate,133,PM<s>2.5</s>,<s>#</s>1,2017-11-16,,
,Moderate,156,PM<s>10</s>,1,2017-11-16,,
,Very Poor,312,PM<s>2.5</s>,1,2017-11-16,,
,Moderate,137,PM<s>10</s>,<s>#</s>1,2017-11-16,,
,Moderate,129,O<s>3</s>,1,2017-11-16,,
,Satisfactory,80,"PM<s>2.5</s>, O<s>3</s>",4,2017-11-16,,
,Very Poor,338,PM<s>2.5</s>,1,2017-11-16,,
,Satisfactory,75,"PM<s>10</s>, CO",2,2017-11-16,,
,Moderate,102,PM<s>2.5</s>,2,2017-11-16,,
,Very Poor,363,PM<s>2.5</s>,17,2017-11-16,,
,Satisfactory,65,PM<s>10</s>,1,2017-11-16,,
,Very Poor,335,PM<s>2.5</s>,1,2017-11-16,,
,Moderate,145,PM<s>2.5</s>,1,2017-11-16,,
,Severe,419,PM<s>2.5</s>,<s>#</s>1,2017-11-16,,
,Very Poor,354,PM<s>2.5</s>,1,2017-11-16,,
,Satisfactory,96,"NO<s>2</s>, PM<s>10</s>",<s>#</s>3,2017-11-16,,
,Poor,223,PM<s>2.5</s>,3,2017-11-16,,
,Poor,300,PM<s>2.5</s>,1,2017-11-16,,
,Very Poor,336,PM<s>2.5</s>,1,2017-11-16,,
,Poor,238,"PM<s>2.5</s>, CO",3,2017-11-16,,
,Moderate,109,NO<s>2</s>,1,2017-11-16,,
,Severe,421,PM<s>2.5</s>,1,2017-11-16,,
,Moderate,129,PM<s>2.5</s>,1,2017-11-16,,
,Moderate,109,PM<s>2.5</s>,<s>#</s>1,2017-11-16,,
,Moderate,174,O<s>3</s>,1,2017-11-16,,
,Satisfactory,99,PM<s>10</s>,1,2017-11-16,,
,Very Poor,366,PM<s>2.5</s>,<s>#</s>2,2017-11-16,,
,Very Poor,310,PM<s>2.5</s>,1,2017-11-16,,
,Moderate,187,PM<s>2.5</s>,1,2017-11-16,,
,Poor,219,PM<s>2.5</s>,1,2017-11-16,,
,Moderate,175,PM<s>10</s>,1,2017-11-16,,
,Satisfactory,60,O<s>3</s>,1,2017-11-16,,
,Very Poor,313,PM<s>2.5</s>,<s>#</s>1,2017-11-16,,
,Moderate,110,PM<s>10</s>,1,2017-11-16,,
,Moderate,140,PM<s>10</s>,1,2017-11-16,,
,Satisfactory,84,PM<s>2.5</s>,1,2017-11-16,,
,Moderate,108,NO<s>2</s>,<s>#</s>1,2017-11-16,,
,Poor,202,PM<s>2.5</s>,1,2017-11-16,,
,Satisfactory,79,CO,1,2017-11-16,,
,Good,37,CO,<s>#</s>1,2017-11-16,,
,Very Poor,344,PM<s>2.5</s>,1,2017-11-17,,
,Poor,299,PM<s>2.5</s>,<s>#</s>1,2017-11-17,,
,Poor,255,PM<s>2.5</s>,1,2017-11-17,,
,Poor,278,PM<s>2.5</s>,1,2017-11-17,,
,Poor,242,PM<s>2.5</s>,1,2017-11-17,,
,Moderate,119,O<s>3</s>,1,2017-11-17,,
,Satisfactory,86,"PM<s>2.5</s>, O<s>3</s>",<s>#</s>4,2017-11-17,,
,Very Poor,301,PM<s>2.5</s>,1,2017-11-17,,
,Satisfactory,76,"PM<s>10</s>, CO",2,2017-11-17,,
,Moderate,122,PM<s>2.5</s>,2,2017-11-17,,
,Very Poor,310,PM<s>2.5</s>,16,2017-11-17,,
,Satisfactory,52,PM<s>10</s>,1,2017-11-17,,
,Poor,291,PM<s>2.5</s>,1,2017-11-17,,
,Moderate,104,PM<s>2.5</s>,1,2017-11-17,,
,Very Poor,378,PM<s>2.5</s>,1,2017-11-17,,
,Very Poor,307,PM<s>2.5</s>,<s>#</s>1,2017-11-17,,
,Satisfactory,75,"PM<s>2.5</s>, PM<s>10</s>",5,2017-11-17,,
,Poor,247,PM<s>2.5</s>,<s>#</s>3,2017-11-17,,
,Poor,265,PM<s>2.5</s>,1,2017-11-17,,
,Very Poor,386,PM<s>2.5</s>,1,2017-11-17,,
,Very Poor,352,PM<s>2.5</s>,3,2017-11-17,,
,Poor,213,PM<s>2.5</s>,<s>#</s>1,2017-11-17,,
,Poor,273,PM<s>2.5</s>,1,2017-11-17,,
,Very Poor,324,PM<s>2.5</s>,1,2017-11-17,,
,Moderate,164,PM<s>10</s>,1,2017-11-17,,
,Moderate,169,PM<s>2.5</s>,1,2017-11-17,,
,Satisfactory,67,PM<s>10</s>,1,2017-11-17,,
,Poor,214,O<s>3</s>,1,2017-11-17,,
,Moderate,102,PM<s>10</s>,<s>#</s>1,2017-11-17,,
,Poor,286,PM<s>2.5</s>,2,2017-11-17,,
,Very Poor,308,PM<s>2.5</s>,1,2017-11-17,,
,Poor,214,PM<s>2.5</s>,1,2017-11-17,,
,Moderate,141,PM<s>10</s>,1,2017-11-17,,
,Satisfactory,73,O<s>3</s>,1,2017-11-17,,
,Moderate,123,PM<s>2.5</s>,1,2017-11-17,,
,Moderate,136,PM<s>10</s>,1,2017-11-17,,
,Moderate,119,PM<s>2.5</s>,1,2017-11-17,,
,Satisfactory,70,NO<s>2</s>,<s>#</s>1,2017-11-17,,
,Very Poor,307,PM<s>2.5</s>,1,2017-11-17,,
,Poor,218,PM<s>2.5</s>,1,2017-11-17,,
,Satisfactory,85,CO,1,2017-11-17,,
,Good,40,CO,<s>#</s>2,2017-11-17,,
,Very Poor,361,PM<s>2.5</s>,1,2017-11-18,,
,Very Poor,302,PM<s>2.5</s>,1,2017-11-18,,
,Moderate,189,PM<s>2.5</s>,1,2017-11-18,,
,Moderate,134,PM<s>2.5</s>,<s>#</s>1,2017-11-18,,
,Moderate,177,PM<s>2.5</s>,<s>#</s>1,2017-11-18,,
,Moderate,139,PM<s>10</s>,1,2017-11-18,,
,Satisfactory,66,"PM<s>2.5</s>, O<s>3</s>",3,2017-11-18,,
,Poor,272,PM<s>2.5</s>,1,2017-11-18,,
,Satisfactory,73,"PM<s>10</s>, CO",2,2017-11-18,,
,Satisfactory,54,"PM<s>2.5</s>, CO",3,2017-11-18,,
,Poor,298,PM<s>2.5</s>,13,2017-11-18,,
,Satisfactory,62,PM<s>10</s>,1,2017-11-18,,
,Very Poor,305,PM<s>2.5</s>,<s>#</s>1,2017-11-18,,
,Moderate,153,PM<s>2.5</s>,1,2017-11-18,,
,Very Poor,364,PM<s>2.5</s>,1,2017-11-18,,
,Very Poor,310,PM<s>2.5</s>,1,2017-11-18,,
,Satisfactory,71,CO,1,2017-11-18,,
,Satisfactory,88,"PM<s>2.5</s>, PM<s>10</s>",6,2017-11-18,,
,Moderate,198,PM<s>2.5</s>,<s>#</s>3,2017-11-18,,
,Very Poor,327,PM<s>2.5</s>,1,2017-11-18,,
,Very Poor,334,PM<s>2.5</s>,<s>#</s>1,2017-11-18,,
,Very Poor,337,PM<s>2.5</s>,3,2017-11-18,,
,Moderate,157,NO<s>2</s>,1,2017-11-18,,
,Poor,271,PM<s>2.5</s>,1,2017-11-18,,
,Very Poor,333,PM<s>2.5</s>,1,2017-11-18,,
,Moderate,148,PM<s>10</s>,1,2017-11-18,,
,Poor,225,PM<s>2.5</s>,1,2017-11-18,,
,Satisfactory,84,PM<s>2.5</s>,<s>#</s>1,2017-11-18,,
,Moderate,195,O<s>3</s>,1,2017-11-18,,
,Satisfactory,86,PM<s>10</s>,1,2017-11-18,,
,Poor,288,PM<s>2.5</s>,2,2017-11-18,,
,Very Poor,303,PM<s>2.5</s>,1,2017-11-18,,
,Poor,246,PM<s>2.5</s>,1,2017-11-18,,
,Moderate,108,PM<s>10</s>,1,2017-11-18,,
,Satisfactory,84,O<s>3</s>,1,2017-11-18,,
,Moderate,112,PM<s>2.5</s>,1,2017-11-18,,
,Moderate,125,PM<s>2.5</s>,1,2017-11-18,,
,Satisfactory,67,PM<s>10</s>,<s>#</s>1,2017-11-18,,
,Poor,298,PM<s>2.5</s>,1,2017-11-18,,
,Poor,267,PM<s>2.5</s>,1,2017-11-18,,
,Satisfactory,93,CO,1,2017-11-18,,
,Good,37,O<s>3</s>,<s>#</s>1,2017-11-18,,
,Very Poor,332,PM<s>2.5</s>,<s>#</s>1,2017-11-19,,
,Poor,255,PM<s>2.5</s>,1,2017-11-19,,
,Poor,263,PM<s>2.5</s>,1,2017-11-19,,
,Poor,280,PM<s>2.5</s>,1,2017-11-19,,
,Poor,218,PM<s>2.5</s>,1,2017-11-19,,
,Moderate,112,PM<s>10</s>,1,2017-11-19,,
,Satisfactory,75,"PM<s>2.5</s>, NO<s>2</s>",4,2017-11-19,,
,Very Poor,322,PM<s>2.5</s>,1,2017-11-19,,
,Satisfactory,73,PM<s>10</s>,2,2017-11-19,,
,Satisfactory,54,"PM<s>2.5</s>, CO",3,2017-11-19,,
,Poor,292,PM<s>2.5</s>,16,2017-11-19,,
,Moderate,131,PM<s>10</s>,1,2017-11-19,,
,Poor,228,PM<s>2.5</s>,1,2017-11-19,,
,Moderate,148,PM<s>2.5</s>,1,2017-11-19,,
,Very Poor,340,PM<s>2.5</s>,1,2017-11-19,,
,Very Poor,327,PM<s>2.5</s>,1,2017-11-19,,
,Satisfactory,63,CO,1,2017-11-19,,
,Satisfactory,80,"PM<s>2.5</s>, PM<s>10</s>",6,2017-11-19,,
,Poor,276,PM<s>2.5</s>,3,2017-11-19,,
,Poor,246,PM<s>2.5</s>,1,2017-11-19,,
,Poor,233,PM<s>2.5</s>,1,2017-11-19,,
,Very Poor,353,PM<s>2.5</s>,3,2017-11-19,,
,Moderate,165,PM<s>2.5</s>,1,2017-11-19,,
,Poor,245,PM<s>2.5</s>,1,2017-11-19,,
,Poor,294,PM<s>2.5</s>,1,2017-11-19,,
,Moderate,164,PM<s>10</s>,1,2017-11-19,,
,Moderate,125,PM<s>2.5</s>,1,2017-11-19,,
,Moderate,171,O<s>3</s>,1,2017-11-19,,
,Satisfactory,88,PM<s>10</s>,1,2017-11-19,,
,Poor,259,PM<s>2.5</s>,2,2017-11-19,,
,Very Poor,350,PM<s>2.5</s>,1,2017-11-19,,
,Moderate,174,PM<s>2.5</s>,1,2017-11-19,,
,Moderate,107,PM<s>10</s>,1,2017-11-19,,
,Satisfactory,88,O<s>3</s>,1,2017-11-19,,
,Moderate,113,PM<s>10</s>,1,2017-11-19,,
,Moderate,141,PM<s>10</s>,1,2017-11-19,,
,Satisfactory,84,PM<s>2.5</s>,1,2017-11-19,,
,Satisfactory,99,NO<s>2</s>,1,2017-11-19,,
,Poor,283,PM<s>2.5</s>,1,2017-11-19,,
,Very Poor,311,PM<s>2.5</s>,1,2017-11-19,,
,Satisfactory,90,CO,1,2017-11-19,,
,Good,47,"O<s>3</s>, PM<s>10</s>",<s>#</s>2,2017-11-19,,
,Very Poor,331,PM<s>2.5</s>,1,2017-11-20,,
,Poor,264,PM<s>2.5</s>,1,2017-11-20,,
,Satisfactory,93,PM<s>10</s>,1,2017-11-20,,
,Moderate,159,PM<s>10</s>,1,2017-11-20,,
,Poor,295,PM<s>2.5</s>,1,2017-11-20,,
,Satisfactory,92,PM<s>10</s>,1,2017-11-20,,
,Satisfactory,69,"PM<s>2.5</s>, NO<s>2</s>",4,2017-11-20,,
,Very Poor,306,PM<s>2.5</s>,1,2017-11-20,,
,Satisfactory,100,PM<s>10</s>,2,2017-11-20,,
,Satisfactory,72,"PM<s>2.5</s>, CO",3,2017-11-20,,
,Very Poor,326,PM<s>2.5</s>,17,2017-11-20,,
,Moderate,158,PM<s>10</s>,1,2017-11-20,,
,Poor,291,PM<s>2.5</s>,1,2017-11-20,,
,Moderate,172,PM<s>2.5</s>,1,2017-11-20,,
,Very Poor,368,PM<s>2.5</s>,1,2017-11-20,,
,Very Poor,330,PM<s>2.5</s>,1,2017-11-20,,
,Satisfactory,92,PM<s>10</s>,<s>#</s>1,2017-11-20,,
,Satisfactory,85,"PM<s>2.5</s>, PM<s>10</s>",4,2017-11-20,,
,Moderate,188,"PM<s>2.5</s>, O<s>3</s>",3,2017-11-20,,
,Moderate,176,PM<s>2.5</s>,1,2017-11-20,,
,Poor,296,PM<s>2.5</s>,1,2017-11-20,,
,Very Poor,308,PM<s>2.5</s>,3,2017-11-20,,
,Moderate,148,PM<s>2.5</s>,1,2017-11-20,,
,Poor,284,PM<s>2.5</s>,1,2017-11-20,,
,Very Poor,320,PM<s>2.5</s>,<s>#</s>1,2017-11-20,,
,Moderate,151,PM<s>10</s>,1,2017-11-20,,
,Moderate,146,PM<s>2.5</s>,1,2017-11-20,,
,Moderate,125,PM<s>2.5</s>,1,2017-11-20,,
,Satisfactory,85,PM<s>10</s>,1,2017-11-20,,
,Poor,299,PM<s>2.5</s>,2,2017-11-20,,
,Moderate,169,PM<s>2.5</s>,1,2017-11-20,,
,Moderate,164,PM<s>2.5</s>,1,2017-11-20,,
,Very Poor,359,PM<s>2.5</s>,1,2017-11-20,,
,Moderate,108,PM<s>10</s>,1,2017-11-20,,
,Satisfactory,86,O<s>3</s>,1,2017-11-20,,
,Moderate,121,PM<s>10</s>,1,2017-11-20,,
,Satisfactory,64,CO,1,2017-11-20,,
,Satisfactory,91,NO<s>2</s>,1,2017-11-20,,
,Poor,280,PM<s>2.5</s>,1,2017-11-20,,
,Very Poor,350,PM<s>2.5</s>,1,2017-11-20,,
,Good,41,"CO, PM<s>10</s>",2,2017-11-20,,
,Poor,296,PM<s>2.5</s>,1,2017-11-21,,
,Poor,265,PM<s>2.5</s>,1,2017-11-21,,
,Moderate,120,PM<s>10</s>,1,2017-11-21,,
,Poor,287,PM<s>2.5</s>,1,2017-11-21,,
,Satisfactory,92,PM<s>10</s>,1,2017-11-21,,
,Satisfactory,68,"PM<s>2.5</s>, NO<s>2</s>",<s>#</s>4,2017-11-21,,
,Poor,261,PM<s>2.5</s>,1,2017-11-21,,
,Moderate,106,PM<s>10</s>,2,2017-11-21,,
,Satisfactory,52,"CO,",3,2017-11-21,,
,Very Poor,324,PM<s>2.5</s>,16,2017-11-21,,
,Moderate,172,PM<s>10</s>,1,2017-11-21,,
,Poor,279,PM<s>2.5</s>,1,2017-11-21,,
,Moderate,132,PM<s>2.5</s>,1,2017-11-21,,
,Very Poor,380,PM<s>2.5</s>,<s>#</s>1,2017-11-21,,
,Very Poor,306,PM<s>2.5</s>,1,2017-11-21,,
,Moderate,128,PM<s>10</s>,1,2017-11-21,,
,Satisfactory,89,"PM<s>2.5</s>, PM<s>10</s>",6,2017-11-21,,
,Moderate,159,"PM<s>2.5</s>, O<s>3</s>",<s>#</s>3,2017-11-21,,
,Poor,202,PM<s>2.5</s>,1,2017-11-21,,
,Severe,421,PM<s>2.5</s>,1,2017-11-21,,
,Moderate,197,PM<s>2.5</s>,1,2017-11-21,,
,Very Poor,317,PM<s>2.5</s>,<s>#</s>3,2017-11-21,,
,Poor,201,PM<s>2.5</s>,1,2017-11-21,,
,Very Poor,346,PM<s>2.5</s>,1,2017-11-21,,
,Very Poor,357,PM<s>2.5</s>,1,2017-11-21,,
,Moderate,161,PM<s>10</s>,1,2017-11-21,,
,Poor,271,PM<s>2.5</s>,1,2017-11-21,,
,Moderate,161,PM<s>2.5</s>,<s>#</s>1,2017-11-21,,
,Moderate,155,PM<s>2.5</s>,1,2017-11-21,,
,Poor,300,PM<s>2.5</s>,2,2017-11-21,,
,Moderate,114,PM<s>10</s>,1,2017-11-21,,
,Poor,242,PM<s>2.5</s>,1,2017-11-21,,
,Poor,289,PM<s>2.5</s>,<s>#</s>1,2017-11-21,,
,Satisfactory,83,PM<s>10</s>,1,2017-11-21,,
,Moderate,103,O<s>3</s>,1,2017-11-21,,
,Moderate,127,PM<s>10</s>,<s>#</s>1,2017-11-21,,
,Moderate,158,PM<s>2.5</s>,1,2017-11-21,,
,Satisfactory,57,CO,1,2017-11-21,,
,Satisfactory,82,NO<s>2</s>,1,2017-11-21,,
,Moderate,168,PM<s>2.5</s>,1,2017-11-21,,
,Very Poor,311,PM<s>2.5</s>,1,2017-11-21,,
,Satisfactory,79,CO,1,2017-11-21,,
,Satisfactory,58,O<s>3</s>,1,2017-11-21,,
,Very Poor,316,PM<s>2.5</s>,1,2017-11-22,,
,Poor,238,PM<s>2.5</s>,1,2017-11-22,,
,Moderate,143,PM<s>2.5</s>,1,2017-11-22,,
,Poor,234,PM<s>2.5</s>,1,2017-11-22,,
,Very Poor,307,PM<s>2.5</s>,<s>#</s>1,2017-11-22,,
,Satisfactory,76,PM<s>10</s>,<s>#</s>1,2017-11-22,,
,Satisfactory,68,"PM<s>2.5</s>, NO<s>2</s>",4,2017-11-22,,
,Poor,281,PM<s>2.5</s>,<s>#</s>1,2017-11-22,,
,Moderate,129,"PM<s>2.5</s>, PM<s>10</s>",2,2017-11-22,,
,Satisfactory,61,"PM<s>2.5</s>, O<s>3</s>",<s>#</s>3,2017-11-22,,
,Very Poor,320,PM<s>2.5</s>,13,2017-11-22,,
,Moderate,146,PM<s>10</s>,1,2017-11-22,,
,Poor,215,PM<s>2.5</s>,1,2017-11-22,,
,Poor,292,PM<s>2.5</s>,1,2017-11-22,,
,Moderate,102,"PM<s>2.5</s>, PM<s>10</s>",6,2017-11-22,,
,Moderate,175,"PM<s>2.5</s>, O<s>3</s>",<s>#</s>3,2017-11-22,,
,Poor,218,PM<s>2.5</s>,1,2017-11-22,,
,Very Poor,395,PM<s>2.5</s>,<s>#</s>1,2017-11-22,,
,Very Poor,351,PM<s>2.5</s>,3,2017-11-22,,
,Very Poor,311,PM<s>2.5</s>,1,2017-11-22,,
,Very Poor,376,PM<s>2.5</s>,1,2017-11-22,,
,Severe,417,PM<s>2.5</s>,1,2017-11-22,,
,Moderate,167,PM<s>10</s>,1,2017-11-22,,
,Very Poor,336,PM<s>2.5</s>,1,2017-11-22,,
,Poor,213,PM<s>2.5</s>,1,2017-11-22,,
,Moderate,107,PM<s>2.5</s>,<s>#</s>1,2017-11-22,,
,Satisfactory,96,PM<s>10</s>,1,2017-11-22,,
,Very Poor,340,PM<s>2.5</s>,2,2017-11-22,,
,Moderate,121,PM<s>2.5</s>,1,2017-11-22,,
,Poor,205,PM<s>2.5</s>,1,2017-11-22,,
,Very Poor,343,PM<s>2.5</s>,1,2017-11-22,,
,Satisfactory,93,PM<s>10</s>,1,2017-11-22,,
,Moderate,131,O<s>3</s>,1,2017-11-22,,
,Very Poor,313,PM<s>2.5</s>,1,2017-11-22,,
,Moderate,131,PM<s>10</s>,1,2017-11-22,,
,Satisfactory,59,CO,1,2017-11-22,,
,Satisfactory,87,NO<s>2</s>,1,2017-11-22,,
,Moderate,151,PM<s>2.5</s>,1,2017-11-22,,
,Very Poor,351,PM<s>2.5</s>,<s>#</s>1,2017-11-22,,
,Moderate,107,PM<s>10</s>,1,2017-11-22,,
,Satisfactory,96,"PM<s>2.5</s>, PM<s>10</s>",2,2017-11-22,,
,Poor,250,PM<s>2.5</s>,<s>#</s>1,2017-11-23,,
,Moderate,175,PM<s>2.5</s>,1,2017-11-23,,
,Moderate,112,O<s>3</s>,1,2017-11-23,,
,Moderate,168,PM<s>10</s>,1,2017-11-23,,
,Poor,242,PM<s>2.5</s>,1,2017-11-23,,
,Moderate,104,PM<s>2.5</s>,1,2017-11-23,,
,Satisfactory,83,"PM<s>2.5</s>, O<s>3</s>",4,2017-11-23,,
,Moderate,146,"PM<s>2.5</s>, PM<s>10</s>",2,2017-11-23,,
,Moderate,163,PM<s>2.5</s>,<s>#</s>3,2017-11-23,,
,Poor,288,"PM<s>2.5</s>, NO<s>2</s>",17,2017-11-23,,
,Moderate,185,PM<s>10</s>,1,2017-11-23,,
,Poor,270,PM<s>2.5</s>,1,2017-11-23,,
,Poor,287,PM<s>2.5</s>,1,2017-11-23,,
,Severe,412,PM<s>10</s>,<s>#</s>1,2017-11-23,,
,Poor,273,PM<s>2.5</s>,<s>#</s>1,2017-11-23,,
